DEP;DEPNOMBRE;MUN;MUNNOMBRE;ZONA;PUESTO;PUESNOMBRE;MESA;CORCODIGO;CORNOMBRE;CIR;PAR;PARNOMBRE;CAN;CANNOMBRE;VOTOS
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;015;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0007
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;015;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0012
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;015;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0002
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;0998;VOTOS NO MARCADOS;998;VOTOS NO MARCADOS .;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0141
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0006
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0004
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;0304;PARTIDO VERDE OXIGENO                                                                               ;008;INGRID BETANCOURT;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0105
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0013
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0026
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;014;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0129
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;0998;VOTOS NO MARCADOS;998;VOTOS NO MARCADOS .;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0015
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0006
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0094
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;0302;PARTIDO MOVIMIENTO DE SALVACION NACIONAL                                                            ;005;ENRIQUE GÓMEZ MARTÍNEZ;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0016
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0038
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;008;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0005
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0137
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;0998;VOTOS NO MARCADOS;998;VOTOS NO MARCADOS .;0002
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0009
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0009
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;0304;PARTIDO VERDE OXIGENO                                                                               ;008;INGRID BETANCOURT;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0081
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0011
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0036
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;007;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0006
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;005;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0136
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;005;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0008
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;005;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0003
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;005;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0074
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;005;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0009
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;005;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0038
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;005;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0005
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0129
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0005
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0002
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0085
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;0302;PARTIDO MOVIMIENTO DE SALVACION NACIONAL                                                            ;005;ENRIQUE GÓMEZ MARTÍNEZ;0003
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0014
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0055
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;002;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0003
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0043
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0082
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0002
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0003
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0092
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;0302;PARTIDO MOVIMIENTO DE SALVACION NACIONAL                                                            ;005;ENRIQUE GÓMEZ MARTÍNEZ;0001
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0108
15;CUNDINAMARCA;160;MADRID;01;05;LICEO HACIENDA CASABLANCA;002;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0008
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;013;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0064
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;013;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0010
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;013;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0005
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;013;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0150
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;013;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0006
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;013;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0013
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;012;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0084
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;012;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0002
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;012;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0003
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;012;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0145
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;012;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0005
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;012;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0009
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;004;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0130
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;004;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0005
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;004;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0010
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;004;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0097
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;004;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0011
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;004;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0010
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;004;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0002
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0132
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0004
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0003
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;0527;COLOMBIA PIENSA EN GRANDE                                                                           ;007;LUIS PÉREZ;0001
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0109
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0012
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0030
15;CUNDINAMARCA;160;MADRID;01;04;COLEGIO LA MAGNOLIA;002;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0007
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;009;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0011
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;009;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0001
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;009;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0001
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;009;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0031
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;009;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0003
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0092
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0005
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0005
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0150
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;0302;PARTIDO MOVIMIENTO DE SALVACION NACIONAL                                                            ;005;ENRIQUE GÓMEZ MARTÍNEZ;0001
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0006
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0011
15;CUNDINAMARCA;160;MADRID;01;03;SALON  COMUNAL  ALCAPARROS;007;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0002
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0070
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0005
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0010
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0169
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;0302;PARTIDO MOVIMIENTO DE SALVACION NACIONAL                                                            ;005;ENRIQUE GÓMEZ MARTÍNEZ;0001
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0004
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0006
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;012;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0003
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;008;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0123
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;008;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0004
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;008;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0010
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;008;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0116
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;008;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0021
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;008;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0035
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;008;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0008
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;002;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0146
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;002;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0006
15;CUNDINAMARCA;160;MADRID;01;02;COLEGIO SAN PEDRO;002;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0003
